"";"sat";"tothrs";"hsize";"hsrank";"hsperc";"colgpa";"athlete";"female";"white";"black";"gpaletter"
"105";1010;17;5,4299998;252;37,0588224394464;1,29;"FALSE";"TRUE";"TRUE";"FALSE";"D"
"106";1030;108;5,4400001;52;9,5588233536981;3,1099999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"107";1070;50;4,5999999;8;1,73913047258979;2,1199999;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"108";900;29;3,1099999;17;5,46623811788547;2,72;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"109";940;45;2,1199999;7;3,30188694820221;3,1099999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"110";980;76;2,1300001;10;4,69483546033636;3,01;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"111";1050;43;2,5;32;12,8;2,76;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"112";850;83;1,73;26;15,028901734104;3,6099999;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"113";950;46;0,61000001;16;26,2295077667294;2,71;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"114";940;16;4,2800002;47;10,9813078980697;2,4300001;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"115";1040;81;4,0100002;42;10,4738149389618;3,2;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"116";1100;50;1,24;1;0,806451612903226;3,2;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"117";1010;15;0,79000002;12;15,1898730331678;1,9299999;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"118";990;108;1,74;71;40,8045977011494;2,6900001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"119";1010;90;2,74;21;7,66423357664234;3,1600001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"120";1130;78;2,1500001;20;9,30232514872906;3,1099999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"121";970;47;2,1300001;15;7,04225319050454;3,29;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"122";1050;18;3,72;18;4,83870967741935;2,9400001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"123";1000;50;3,8;4;1,05263157894737;3,28;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"124";930;10;3,5999999;123;34,1666676157408;1,5;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"125";1010;16;3,5999999;9;2,50000006944445;3,6199999;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"126";990;52;4;5;1,25;2,6900001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"127";1150;82;4,5799999;10;2,18340616120974;3,6199999;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"128";990;15;1,09;23;21,1009174311927;3,1300001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"129";930;43;6,04;27;4,47019867549669;3,48;"TRUE";"TRUE";"TRUE";"FALSE";"B"
"130";1020;17;3,3;12;3,63636363636364;3,1700001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"131";1160;87;3,5;10;2,85714285714286;3,0799999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"132";1130;18;4,6700001;6;1,2847965463641;3,3800001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"133";900;80;3,5999999;7;1,94444449845679;3,0599999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"134";870;78;3,5999999;11;3,0555556404321;2,75;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"135";1040;39;5,4000001;36;6,66666654320988;3,1700001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"136";1020;81;5,0500002;17;3,36633650034311;3,5899999;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"137";1230;110;4,4000001;45;10,2272724948347;2,8399999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"138";1040;111;4,6300001;220;29,3333333333333;2,98;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"139";830;11;4,6500001;271;37,0725039271204;1,9;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"140";1050;13;0,82999998;13;15,6626509798229;4;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"141";910;50;3,7;116;31,3513513513514;2,3599999;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"142";1070;44;3,7;42;11,3513513513514;3,52;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"143";1050;12;3,7;30;8,10810810810811;2,8099999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"144";1170;112;3,22;65;8,22784799711585;2,72;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"145";890;62;4,29;150;21,4285714285714;2,3499999;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"146";720;83;4,25;147;34,5882352941176;2,26;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"147";1200;81;4,8000002;38;7,91666633680557;2,55;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"148";1010;13;4,0300002;35;8,68486309256263;2,3800001;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"149";1330;46;3,03;1;0,33003300330033;4;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"150";1000;47;5,7399998;59;10,2787460027438;3,4200001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"151";1140;15;6,3499999;103;16,2204726963854;2,8599999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"152";1110;88;2,9100001;30;10,3092779962447;2,3699999;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"153";1240;49;2,8;22;2,9530202135039;3,6500001;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"154";1060;114;6,3699999;192;30,1412877573201;2,8699999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"155";1160;98;6,3699999;101;15,8555732473402;3,47;"TRUE";"TRUE";"TRUE";"FALSE";"B"
"156";970;121;6,3699999;65;10,2040817928427;2,8299999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"157";1060;41;5,29;260;34,8993297959552;3,8499999;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"158";790;47;2;7;3,5;2,46;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"159";1000;45;0,52999997;16;30,1886809540763;3,28;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"160";990;18;3,3;60;18,1818181818182;2,3800001;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"161";1040;14;2,0599999;12;5,82524300122539;3,28;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"162";840;15;3,3900001;58;17,1091440380783;3;"FALSE";"TRUE";"FALSE";"TRUE";"B"
"163";1060;54;2,8399999;24;8,45070452291213;3,01;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"164";950;72;2,48;96;38,7096774193548;2,3;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"165";1030;81;2,48;19;7,66129032258065;2,3299999;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"166";920;17;3,51;36;10,2564102564103;3,4100001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"167";1220;111;1,74;5;2,8735632183908;3,76;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"168";750;15;0,1;4;40;1,0599999;"FALSE";"TRUE";"TRUE";"FALSE";"D"
"169";800;46;2,5599999;23;8,98437535095216;1,8;"FALSE";"TRUE";"FALSE";"TRUE";"C"
"170";880;17;0,1;4;40;2,3499999;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"171";870;14;0,1;2;20;3,5;"TRUE";"TRUE";"FALSE";"TRUE";"A"
"172";910;108;2,3;7;3,04347826086957;3,29;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"173";1180;17;2,9400001;7;2,38095229996761;3,29;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"174";1070;45;3,46;86;24,8554913294798;2,3299999;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"175";1020;44;3,46;151;43,6416184971098;2,22;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"176";1030;110;2,55;69;27,0588235294118;2,8699999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"177";850;16;2,21;94;42,5339366515837;2,5599999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"178";850;16;3,55;15;4,22535211267606;1,5599999;"FALSE";"TRUE";"FALSE";"TRUE";"C"
"179";730;111;2,6099999;43;16,4750964166704;2,29;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"180";1130;89;2,0699999;2;0,966183621554764;2,53;"FALSE";"TRUE";"FALSE";"TRUE";"B"
"181";1200;113;2,4000001;3;1,24999994791667;3,9100001;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"182";1120;117;0,38;6;15,7894736842105;3,1099999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"183";960;73;2,9000001;25;8,62068935790726;2,21;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"184";950;81;1,61;15;9,3167701863354;3,3199999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"185";990;46;0,1;1;10;3,52;"FALSE";"TRUE";"FALSE";"TRUE";"A"
"186";1130;71;1,3;12;9,23076923076923;2,1500001;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"187";800;15;1,9;30;15,7894736842105;2;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"188";1280;54;2,4000001;6;2,49999989583334;3,3800001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"189";1130;16;2,4000001;6;2,49999989583334;3,6199999;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"190";1060;80;0,1;2;20;3,1700001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"191";1120;18;2,1500001;63;29,3023242184965;2,27;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"192";960;16;2,1600001;59;27,3148135502401;2,9300001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"193";1130;126;3,25;5;1,53846153846154;3,1500001;"FALSE";"TRUE";"FALSE";"TRUE";"B"
"194";830;15;3,72;71;19,0860215053763;2,46;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"195";1210;17;2,9000001;17;5,86206876337694;2,76;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"196";990;123;1,28;8;6,25;2,6700001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"197";1150;43;2,51;13;5,1792828685259;3,53;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"198";940;16;0,1;2;20;1,87;"FALSE";"TRUE";"FALSE";"TRUE";"C"
"199";820;46;0,1;2;20;2,52;"FALSE";"TRUE";"FALSE";"TRUE";"B"
"200";760;13;0,1;3;30;1,0700001;"FALSE";"TRUE";"FALSE";"TRUE";"D"
"201";680;107;0,91000003;13;14,2857138147567;2,04;"TRUE";"TRUE";"FALSE";"TRUE";"C"
"202";880;47;1,48;36;24,3243243243243;2,21;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"203";1170;45;0,1;2;20;2,71;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"204";1020;16;0,1;1;10;2,8699999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"205";910;14;0,1;2;20;2,5;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"206";1090;89;0,1;2;20;3,1199999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"207";990;80;0,1;3;30;3,1300001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"208";1120;17;0,1;4;40;2,1099999;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"209";1090;10;0,1;1;10;3;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"210";880;104;0,1;4;40;2,23;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"211";930;78;0,1;3;30;3,28;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"212";730;43;0,1;1;10;3,0899999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"213";970;48;0,1;1;10;3,3099999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"214";900;49;0,1;4;40;1,83;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"215";1000;16;2,75;92;33,4545454545455;1,37;"FALSE";"TRUE";"TRUE";"FALSE";"D"
"216";1130;14;2,75;108;39,2727272727273;2,78;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"217";860;49;2,6500001;30;11,3207542897829;3,46;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"218";830;15;2,75;146;53,0909090909091;2,2;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"219";910;79;2,6099999;116;44,4444461472968;2,25;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"220";1050;69;2,6099999;50;19,1570888565934;2,6500001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"221";930;15;2,75;117;42,5454545454545;2,0599999;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"222";1050;117;2,3199999;34;14,6551730454816;3,3399999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"223";1240;88;2,4200001;3;1,2396693702616;3,8599999;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"224";1200;113;3;53;17,6666666666667;2,3299999;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"225";1180;12;4,25;28;6,58823529411765;3,5799999;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"226";1010;70;1,86;47;25,2688172043011;1,8099999;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"227";1160;91;1,99;17;8,5427135678392;3,4200001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"228";1070;21;0,13;3;23,0769230769231;2,6600001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"229";1130;81;0,12;3;25;2,8199999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"230";1210;121;0,1;1;10;3,0899999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"231";1120;15;3,3;20;6,06060606060606;2,3299999;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"232";1020;16;1,84;12;6,52173913043478;2,1800001;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"233";1080;14;3,73;73;19,5710455764075;3,1400001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"234";1120;19;3,3800001;77;22,7810644147614;2,6800001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"235";1120;17;3,3800001;71;21,0059165382865;3,1700001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"236";1010;73;0,68000001;25;36,7647053416955;1,9;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"237";1060;48;4,02;70;10,0430418950658;3,2;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"238";790;16;4,6500001;258;31,6564432714819;2,1800001;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"239";1220;46;2,5;3;0,430416081217104;3,9300001;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"240";900;47;3,96;106;15,208034869671;2,51;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"241";1020;14;6,0999999;207;33,9344267858103;2,5;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"242";1130;14;6,1399999;123;20,0325736161657;3,4200001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"243";910;46;2,6900001;51;18,9591071018919;3,28;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"244";1040;78;2,0999999;24;11,4285719727891;2,5;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"245";1040;43;4,1399999;61;14,7342998728092;2,3900001;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"246";1070;16;4,6300001;67;14,4708420200682;2,6800001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"247";950;44;0,44;11;25;2,6800001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"248";1060;48;0,87;16;18,3908045977011;3,4300001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"249";990;12;4,75;142;29,8947368421053;0,25;"FALSE";"TRUE";"TRUE";"FALSE";"D"
"250";1080;17;3,8599999;33;8,54922301940992;1,8200001;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"251";890;13;3,8599999;139;36,0103636272115;2,46;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"252";1120;13;1,37;20;14,5985401459854;2,23;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"253";950;76;3,5;54;15,4285714285714;2,71;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"254";1220;18;4;3;0,75;3,22;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"255";940;17;1,01;1;0,99009900990099;2,5799999;"FALSE";"TRUE";"FALSE";"TRUE";"B"
